name,total_price_in_state,total_price_out_of_state,percent_admitted,yield,total_applicants,act_low,act_high,act_range,city,state,zip,address,longitude,latitude,affiliation,six_year_grad_rate,total_enrollment,website,phone_number,financial_aid_address,admissions_address,application_address,net_price_calculator,average_price_after_financial_aid,average_price_if_less_than_30000,average_price_if_less_than_48000,average_price_if_less_than_75000,average_price_if_less_than_110000,average_price_if_greater_than_110000,ncaa_membership,football_team?,basketball_team?,baseball_team?,cross_country_team?
American University of Puerto Rico,,,,,, , , - ,Manati,PR,00674-1082,Carretera Estatal #2 Km.48.1,-66.478655,18.434072,private_non_profit,35,939,www.aupr.edu,7.87621E+13,www.aupr.edu/site/pages/66,www.aupr.edu/site/pages/37,www.aupr.edu/site/solicitudAdmision,www.aupr.edu/site/calculadora,10310,10169,10636,13031,,,No,No,No,No,No
Amherst College,66572,66572,14,40,8477,30,34,30 - 34,Amherst,MA,01002-5000,Boltwood Avenue,-72.518493,42.372459,private_non_profit,95,1792,www.amherst.edu,4135422000,www.amherst.edu/~finaid/,www.amherst.edu/admission/,https://www.amherst.edu/admission/apply/firstyear,https://npc.collegeboard.org/student/app/amherst,14687,3700,4840,10759,20406,40438,Yes,Yes,Yes,Yes,Yes
Amridge University,,,,,, , , - ,Montgomery,AL,36117-3553,1200 Taylor Rd,-86.17401,32.362609,private_non_profit,0,625,www.amridgeuniversity.edu,3.34388E+13,www.amridgeuniversity.edu/financial-aid/,www.amridgeuniversity.edu/admissions/,https://www.amridgeuniversity.edu/myamridge/,www2.amridgeuniversity.edu:9091/,12992,12992,,,,,No,No,No,No,No
Anderson University,39185,39185,72,40,2142,20,26,20 - 26,Anderson,SC,29621-4035,316 Boulevard,-82.640205,34.515506,private_non_profit,48,3112,www.andersonuniversity.edu,8642312000,www.andersonuniversity.edu/finaid.aspx?,www.andersonuniversity.edu/admissions.aspx,www.andersonuniversity.edu/admissions.aspx?id=2135,www.andersonuniversity.edu/netpricecalculator/npcalc.htm,18051,13980,14674,16294,17981,19184,Yes,No,Yes,Yes,Yes
Anderson University,41060,41060,55,30,2659,21,25,21 - 25,Anderson,IN,46012-3495,1100 E 5th St,-85.662292,40.112167,private_non_profit,57,2399,www.anderson.edu,7656499071,www.anderson.edu/finaid,www.anderson.edu/admissions/,www.anderson.edu/admissions/apply/,www.anderson.edu/finaid/net-calculator.html,23229,20613,20810,22061,24452,26059,Yes,Yes,Yes,Yes,Yes
Andrews University,37732,37732,37,32,2340,20,27,20 - 27,Berrien Springs,MI,49104,4150 Administration Drive  Room 136,-86.356866,41.962914,private_non_profit,59,3418,www.andrews.edu,8002532874,https://www.andrews.edu/future/financing/aid/,https://www.andrews.edu/admissions/,www.andrews.edu/future/apply,www.andrews.edu/go/npc,23620,19226,18714,21383,22274,25884,No,No,No,No,No
Angelo State University,19274,28634,82,44,3634,18,24,18 - 24,San Angelo,TX,76909,2601 W. Avenue N,-100.466495,31.44145,public,32,6494,www.angelo.edu,3259422555,www.angelo.edu/services/financial_aid/,www.angelo.edu/dept/admissions/,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,,,,,,,Yes,Yes,Yes,Yes,Yes
Anna Maria College,53186,53186,78,11,1944, , , - ,Paxton,MA,01612-1198,50 Sunset Lane,-71.918961,42.33055,private_non_profit,47,1430,www.annamaria.edu,5088493300,www.annamaria.edu/admissions/financial-aid,www.annamaria.edu/admissions/index.html,https://admissions.learntoday.info/annamaria.aspx,annamaria.studentaidcalculator.com/survey.aspx,27539,23853,24589,27220,28708,29912,Yes,Yes,Yes,Yes,Yes
Antioch College,49432,49432,46,50,309, , , - ,Yellow Springs,OH,45387,1 Morgan Pl,-83.889793,39.800282,private_non_profit,,238,antiochcollege.org,9373196082,antiochcollege.org/admission/finaid,antiochcollege.org/admission,choose.antiochcollege.org/apply/,https://npc.collegeboard.org/student/app/antiochcollege,8946,,,,,,No,No,No,No,No
Antioch University-Connected,,,,,, , , - ,Yellow Springs,OH,45387,900 Dayton Street,-83.905864,39.803281,private_non_profit,,,online.antioch.edu,9377691352,online.antioch.edu/student-services/financial-aid,online.antioch.edu/admissions,online.antioch.edu/admissions/apply-now,,,,,,,,No,No,No,No,No
Antioch University-Los Angeles,,,,,, , , - ,Culver City,CA,90230-7615,400 Corporate Pointe,-118.384651,33.98764,private_non_profit,,1017,www.antiochla.edu,3105781080,www.antiochla.edu/admissions,www.antiochla.edu/admissions,https://app.applyyourself.com/?id=antioch,,,,,,,,No,No,No,No,No
Antioch University-Midwest,,,,,, , , - ,Yellow Springs,OH,45387,900 Dayton St,-83.892094,39.795828,private_non_profit,,256,midwest.antioch.edu/,9377691800,midwest.antioch.edu/financial-aid/,midwest.antioch.edu/admissions/,app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=ANTIOCH-U,antiochseattle.edu/futurestudents/aid/npcalc.htm,,,,,,,No,No,No,No,No
Antioch University-Santa Barbara,,,,,, , , - ,Santa Barbara,CA,93101,602 Anacapa Street,-119.695767,34.419007,private_non_profit,,423,www.antiochsb.edu,8059628179,www.antiochsb.edu/financial-aid/,www.antiochsb.edu/admissions/contact-admissions/,www.antiochsb.edu/admissions/vip-page-online-application/,www.antiochsb.edu/financial-aid/,,,,,,,No,No,No,No,No
